code,ms_name,ms_category,ms_investment_style,ms_id
100928,SBI Debt Hybrid Fund Reg Qt IDCW-R,Conservative Allocation,Mid Growth,F00000Z928
100929,SBI Debt Hybrid Fund Reg Ann IDCW-R,Conservative Allocation,Mid Growth,F00000Z926
100948,Franklin India Debt Hybd Gr,Conservative Allocation,Large Blend,F0GBR06SJ7
100949,Franklin India Dbt Hybd Mn IDCW-R,Conservative Allocation,Large Blend,F00000Z7ZH
100950,Franklin India Dbt Hybd Qt IDCW-R,Conservative Allocation,Large Blend,F00000Z7ZI
100952,,,,
100953,,,,
100954,,,,
100955,,,,
100966,Principal Multi Cap Gr Hlf Yrly IDCW-R,Multi-Cap,Large Growth,F00000Z8UU
100967,Principal Multi Cap Gr Gr,Multi-Cap,Large Growth,F0GBR06S14
100968,SBI Debt Hybrid Fund Reg Gr,Conservative Allocation,Mid Growth,F0GBR06R81
100997,HDFC L/T Advantage IDCW-R,ELSS,Large Blend,F00000Z823
100998,HDFC L/T Advantage Gr,ELSS,Large Blend,F0GBR06RNX
100999,SBI Magnum Gilt Reg IDCW-R,Government Bond,,F00000Z91I
101001,SBI Magnum Gilt Reg Gr,Government Bond,,F0GBR06R6S
101002,SBI Magnum Constant Mat Reg Gr,10 yr Government Bond,,F0GBR06R72
101003,SBI Magnum Constant Mat Reg IDCW-R,10 yr Government Bond,,F00000Z91K
101042,Tata Gilt Securities Gr,Government Bond,,F0GBR06REI
101044,Franklin India Floating Rate IDCW-R,Floating Rate,,F0GBR06RH7
101048,Franklin India Floating Rate Gr,Floating Rate,,F0GBR06RH8
101049,Tata Gilt Securities IDCW-R,Government Bond,,F00000Z96W
101065,Quant Mid Cap Gr,Mid-Cap,Mid Blend,F0GBR06SH4
101066,Quant Mid Cap IDCW-R,Mid-Cap,Mid Blend,F00000Z7XP
101069,Quant Absolute IDCW-R,Aggressive Allocation,Mid Blend,F00000Z7X2
101070,Quant Absolute Gr,Aggressive Allocation,Mid Blend,F0GBR06SGM
101071,Quant Multi Asset IDCW-R,Multi Asset Allocation,Small Blend,F00000Z7X6
101072,Quant Multi Asset Gr,Multi Asset Allocation,Small Blend,F0GBR06SGS
101078,JM Liquid Dl IDCW-R,Liquid,,F0GBR06RUO
101083,HDFC Gilt Gr,Government Bond,,F0GBR06RN3
101084,HDFC Gilt IDCW-R,Government Bond,,F00000Z81F
101098,,,,
101127,ICICI Pru Child Care (Gift Plan),Children,Large Blend,F0GBR06S30
101143,ICICI Pru Multi-Asset IDCW-R,Multi Asset Allocation,Large Value,F00000Z86A
101144,ICICI Pru Multi-Asset Gr,Multi Asset Allocation,Large Value,F0GBR06S3A
101161,Nippon India Multi Cap Gr,Multi-Cap,Large Blend,F0GBR06R2Y
101162,Nippon India Multi Cap Bns,Multi-Cap,Large Blend,F0GBR06R2W
101163,Nippon India Multi Cap IDCW-R,Multi-Cap,Large Blend,F00000Z8W8
101165,ICICI Pru Short Term Mn IDCW-R,Short Duration,,F00000Z89Z
101169,SBI Magnum Child's Benefit Reg Gr,Children,Mid Blend,F0GBR06R6G
101181,JM Income Bns Princ,Medium to Long Duration,,F0GBR06RV1
101184,LIC MF Liquid IDCW-R,Liquid,,F00000Z8QY
101185,LIC MF Liquid Gr,Liquid,,F0GBR06RYY
101186,Tata Income Reg Pd IDCW-R,Medium to Long Duration,,F00000Z97A
101187,Baroda Gilt A Gr,Government Bond,,F0GBR06SAF
101188,Baroda Gilt A IDCW-R,Government Bond,,F00000Z7FS
101198,LIC MF Index Sensex IDCW-R,Index Funds,Large Growth,F00000Z8QU
101199,LIC MF Index Sensex Gr,Index Funds,Large Growth,F0GBR06RYW
101200,LIC MF Index Nifty IDCW-R,Index Funds,Large Blend,F00000Z8QS
101201,LIC MF Index Nifty Gr,Index Funds,Large Blend,F0GBR06RYR
101206,SBI Overnight Fund Reg Gr,Overnight,,F0GBR06R7P
101209,Taurus Largecap Equity Gr,Large-Cap,Large Blend,F0GBR06RG1
101221,ICICI Pru Money Market Retl Gr,Money Market,,F0GBR06R21
101222,Tata Hybrid Equity Reg IDCW-R,Aggressive Allocation,Large Growth,F00000Z962
101224,Tata Dynamic Bond Reg IDCW-R,Dynamic Bond,,F00000Z96I
101228,ICICI Pru Multicap Gr,Multi-Cap,Large Growth,F0GBR06R1S
101229,ICICI Pru Short Term Instl Mn IDCW-R,Short Duration,,F00000Z89Y
101230,ICICI Pru Short Term Instl Fr IDCW-P,Short Duration,,F0GBR06R1V
101231,ICICI Pru Short Term Instl Gr,Short Duration,,F0GBR06R1W
101232,Franklin India S/T Income Gr,Other Bond,,F0GBR06RHD
101236,Franklin India S/T Income Mn IDCW-R,Other Bond,,F00000Z7ZW
101237,,,,
101238,Franklin India S/T Income Qt IDCW-R,Other Bond,,F00000Z7ZX
101242,Franklin India S/T Income Wk IDCW-R,Other Bond,,F0GBR06RHJ
101244,Franklin India S/T Income Instl Gr,Other Bond,,F0GBR06RHG
101246,,,,
101262,Nippon India Power & Infra Gr,Equity - Other,Large Blend,F0GBR06R2S
101263,Nippon India Power & Infra Bns,Equity - Other,Large Blend,F0GBR06R2Q
101264,Nippon India Power & Infra IDCW-R,Equity - Other,Large Blend,F00000Z8W2
101265,Principal Hybrid Equity Gr,Aggressive Allocation,Large Growth,F0GBR06RZK
101266,Principal Hybrid Equity Mn IDCW-R,Aggressive Allocation,Large Growth,F00000Z8TX
101271,LIC MF Childrens Gift,Children,Large Growth,F0GBR06RY1
101281,HDFC Index Sensex,Index Funds,Large Growth,F0GBR06RNI
101282,,,,
101295,SBI Magnum Equity ESG Reg IDCW-R,Equity - ESG,Large Growth,F00000Z91C
101303,DSP S/T Reg Wk IDCW-R,Short Duration,,F0GBR06SEX
101304,DSP S/T Reg Gr,Short Duration,,F0GBR06SET
101305,DSP S/T Reg IDCW-R,Short Duration,,F00000Z7U6
101306,DSP S/T Reg Mn IDCW-R,Short Duration,,F00000Z7U7
101313,Aditya BSL Index IDCW-R,Index Funds,Large Blend,F00000Z7IC
101314,Aditya BSL Index Gr,Index Funds,Large Blend,F0GBR06S8M
101316,Aditya BSL Savings Retl Gr,Ulta Short Duration,,F0GBR06S68
101317,Aditya BSL Savings Gr,Ulta Short Duration,,F0GBR06S66
101349,ICICI Pru Nifty Index Reg Gr,Index Funds,Large Blend,F0GBR06R0H
101350,ICICI Pru All Seasons Bond Retl Cumu,Dynamic Bond,,F0GBR06R0K
101351,ICICI Pru All Seasons Bond Wk IDCW-R,Dynamic Bond,,F00000Z883
101356,Franklin India Savings IDCW-R,Money Market,,F00000Z800
101357,Franklin India Savings Gr,Money Market,,F0GBR06RG6
101358,,,,
101359,,,,
101372,Kotak Bond S/T Reg Mn IDCW-R,Short Duration,,F00000Z8MR
101373,Kotak Bond S/T Reg Gr,Short Duration,,F0GBR06RVQ
101393,,,,
101394,,,,
101397,,,,
101398,,,,
101399,,,,
101400,,,,
101401,,,,
101402,,,,
101407,Baroda Liquid Reg IDCW-R,Liquid,,F00000Z7G3
101408,Baroda Liquid Reg Gr,Liquid,,F0GBR06SAM
101409,Baroda Liquid Reg Dl IDCW-R,Liquid,,F00000Z7G2
101465,Principal S/T Debt Gr,Short Duration,,F0GBR06S1B
101466,Principal S/T Debt Mn IDCW-R,Short Duration,,F00000Z8V6
101472,Sundaram Equity Hybrid IDCW-R,Aggressive Allocation,Large Growth,F00000Z93L
101481,,,,
101482,,,,
101483,,,,
101484,,,,
101491,Tata Young Citizens After 7 yrs,Children,Large Growth,F00000VOAA
101498,Principal Equity Svgs Gr,Equity - Savings,Large Blend,F0GBR06S1O
101499,Principal Equity Svgs Hf Yr IDCW-R,Equity - Savings,Large Blend,F00000Z8UL
101500,Principal Equity Svgs Qt IDCW-R,Equity - Savings,Large Blend,F00000Z8UM
101519,,,,
101520,,,,
101521,,,,
101524,,,,
